"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","Typ","Überschuldungsquoten in %","","","","",""
"","","","","2014","2015","2016","2017","2018","2019"
"190.","Leipzig","Sachsen","LK","9,50","9,83","9,94","9,97","9,95","9,83"
"191.","Leipzig, Stadt","Sachsen","KS","13,04","13,33","13,50","13,43","13,17","12,81"
"192.","Leverkusen, Stadt","Nordrhein-Westfalen","KS","11,30","11,67","11,76","11,77","11,89","11,99"
"193.","Lichtenfels","Bayern","LK","7,06","7,15","7,30","7,36","7,30","7,03"
"194.","Limburg-Weilburg","Hessen","LK","10,41","10,67","10,86","11,04","11,17","11,29"
"195.","Lindau (Bodensee)","Bayern","LK","7,51","7,42","7,51","7,65","7,62","7,37"
"196.","Lippe","Nordrhein-Westfalen","K","9,74","9,85","9,89","9,74","10,01","10,10"
"197.","Lörrach","Baden-Württemberg","LK","8,48","8,54","8,84","8,82","8,79","8,76"
"198.","Lübeck, Hansestadt","Schleswig-Holstein","KS","15,59","15,26","15,29","15,04","14,76","14,48"
"199.","Lüchow-Dannenberg","Niedersachsen","LK","11,51","10,94","11,46","11,54","11,98","12,10"
"200.","Ludwigsburg","Baden-Württemberg","LK","7,79","7,88","7,98","7,75","7,63","7,59"
"201.","Ludwigshafen a. Rhein, Stadt","Rheinland-Pfalz","KS","15,22","15,17","15,27","15,81","15,96","16,02"
"202.","","Ludwigslust-Parchim  Mecklenburg-Vorpommern","LK","9,86","9,74","10,00","10,11","10,19","10,14"
"203.","Lüneburg","Niedersachsen","LK","9,96","9,71","9,70","9,47","9,46","9,38"
"204.","Magdeburg, Landeshauptstadt","Sachsen-Anhalt","KS","14,76","14,89","14,80","14,63","14,51","14,31"
"205.","Main-Kinzig-Kreis","Hessen","LK","10,02","10,02","10,18","10,16","10,04","9,96"
"206.","Main-Spessart","Bayern","LK","5,33","5,40","5,52","5,60","5,62","5,52"
"207.","Main-Tauber-Kreis","Baden-Württemberg","LK","5,98","6,15","6,20","6,25","6,36","6,31"
"208.","Main-Taunus-Kreis","Hessen","LK","6,91","7,08","7,10","7,23","7,21","7,29"
"209.","Mainz, kreisfreie Stadt","Rheinland-Pfalz","KS","8,05","7,96","7,93","7,90","7,87","8,03"
"210.","Mainz-Bingen","Rheinland-Pfalz","LK","8,30","8,21","8,26","7,98","7,97","7,94"
"211.","Mannheim, Stadtkreis","Baden-Württemberg","SK","13,43","13,53","14,00","14,14","14,41","13,95"
"212.","Mansfeld-Südharz","Sachsen-Anhalt","LK","11,62","11,81","12,20","12,22","12,16","12,22"
"213.","Marburg-Biedenkopf","Hessen","LK","8,01","8,13","8,16","8,04","8,11","8,05"
"214.","Märkischer Kreis","Nordrhein-Westfalen","K","12,63","12,81","12,86","12,78","12,82","12,83"
"215.","Märkisch-Oderland","Brandenburg","LK","10,02","9,88","10,03","9,87","9,84","9,69"
"216.","Mayen-Koblenz","Rheinland-Pfalz","LK","9,84","9,71","9,94","10,03","10,02","10,00"
"217.","","Mecklenburgische Seenplatte  Mecklenburg-Vorpommern","LK","10,73","10,38","10,43","10,35","10,32","10,40"
"218.","Meißen","Sachsen","LK","8,35","8,62","8,93","9,01","9,05","8,97"
"219.","Memmingen, Stadt","Bayern","KS","10,17","10,24","10,43","10,30","10,11","9,92"
"220.","Merzig-Wadern","Saarland","LK","9,66","9,42","9,25","9,14","9,15","9,10"
"221.","Mettmann, Kreis","Nordrhein-Westfalen","K","10,04","10,28","10,30","10,30","10,32","10,34"
"222.","Miesbach","Bayern","LK","7,13","7,10","7,24","7,19","7,21","7,15"
"223.","Miltenberg","Bayern","LK","7,87","7,92","8,13","8,24","8,16","8,05"
"224.","Minden-Lübbecke","Nordrhein-Westfalen","K","10,08","10,18","10,26","10,20","10,34","10,35"
"225.","Mittelsachsen","Sachsen","LK","8,51","8,89","9,18","9,31","9,19","9,10"
"226.","Mönchengladbach, Stadt","Nordrhein-Westfalen","KS","15,83","15,85","16,01","16,12","16,36","16,64"
"227.","Mühldorf a.Inn","Bayern","LK","7,71","7,72","7,89","8,02","8,15","8,09"
"228.","Mülheim an der Ruhr, Stadt","Nordrhein-Westfalen","KS","10,91","11,16","11,41","11,62","11,61","11,61"
